episode,score,average_100
75,-48.00301191309144,-101.38094160718698
76,-15.497326818013136,-100.25089404417153
77,-47.58099151971504,-99.5668693360617
78,40.78342007080927,-97.76750665135823
79,-62.059770064266516,-97.31550998569884
80,-58.829125773150494,-96.83443018304197
81,-61.96177092138842,-96.40390352549069
82,-64.41839029311205,-96.01383629094948
83,-56.77356283392416,-95.54106191194919
84,-63.95655781869877,-95.16505591083906
85,28.31244279049656,-93.71237945552923
86,-102.14077265407222,-93.81038402760531
87,-149.1426005248416,-94.44638651607929
88,4.079646402284723,-93.32677250564335
89,-13.477019058469608,-92.42958426466387
90,-45.36762033789658,-91.90667355436645
91,-109.08207692741547,-92.09541425077359
92,-5.037085989874953,-91.1491280740247
93,-29.537916393837293,-90.48664192692591
94,-26.849912074776228,-89.80965543913709
95,-39.52153334098823,-89.28030678547238
96,-85.07456681235828,-89.23649699408573
97,-98.67416985330152,-89.3337925905725
98,-48.17837192961612,-88.91383931852192
99,-74.71697909350587,-88.77043668998641
100,-27.313946061550354,-88.15587178370205
101,-16.04708675872233,-86.59236391135155
102,-46.60703530508826,-84.35873534782293
103,-50.21202892281799,-82.87999087212798
104,-148.19697994091715,-83.38365415742511
105,-47.776301355611594,-82.87317426065712
106,-78.73973561348022,-81.44368482959842
107,-152.4201991023265,-81.39906872812769
108,-42.37496196870731,-80.99503144179852
109,-27.948013786309232,-78.97189523063314
110,-215.59306140795147,-80.14774299203754
111,10.460191026404331,-78.86314217047502
112,-72.03605531308382,-78.51056157576858
113,-27.93545785487997,-77.75380027984203
114,-60.95558973444397,-77.19542835928755
115,-38.895809345057714,-75.90074068623038
116,-71.86477837858686,-75.78097754792967
117,-79.32319955960357,-75.46177348418783
118,-34.98499786271826,-73.70520971417872
119,-80.23804205726569,-73.01605299081189
120,-52.606386303091085,-72.61103226002412
121,-61.18504644348463,-72.61233685236412
122,3.065947924673651,-70.88227261539957
123,-41.14025461863551,-68.9666346134578
124,96.88850008182534,-67.15200952557738
125,-61.56708986591909,-66.64390216853458
126,-19.055064007351888,-65.75014437578278
127,-68.73084987189068,-65.34354003509549
128,8.99660989695279,-64.38749331034893
129,-6.0071833145528615,-64.03146213624949
130,-78.25434797062576,-63.8719901027894
131,-14.073085995743156,-62.85979563890114
132,-46.962550555760096,-62.69210344068941
133,-26.556250323882864,-62.21665731056675
134,5.664104508410148,-61.41345970141466
135,-80.81912614335585,-61.53624863524568
136,-63.97763758834394,-61.560391260625444
137,-41.206087325294405,-61.29503331743766
138,-15.273170759969148,-60.246539830618076
139,84.262981878667,-58.58407540140113
140,-123.42384745801547,-59.041416819239494
141,30.53110789118483,-58.227621627193955
142,-37.94408150920262,-57.818595780677214
143,45.56712362019934,-55.21020163686349
144,-85.30772369280993,-55.61131528292169
145,24.998882426550125,-53.65959882723638
146,4.927360622927381,-52.57913771218301
147,-27.00436524312269,-52.43970684325046
148,85.91150916585748,-49.95195789285683
149,-26.03772784526808,-49.16860180923547
150,42.7723245775719,-48.52042653579058
151,-38.616007192801135,-46.908228711425636
152,106.23000697051638,-44.804626809570635
153,-51.621896208305856,-44.400929886175675
154,11.462519907347385,-43.22029453380277
155,42.37677756172448,-42.2607405194458
156,-73.51394382113699,-42.30771704091102
157,124.19263259757953,-39.97706994807865
158,-11.26747506617059,-39.98182194901538
159,19.080206214987427,-39.328781698482594
160,-82.04056778604333,-39.33206333086226
161,109.80505353623836,-38.18766930537352
162,32.625828129308246,-37.3674728532309
163,-55.829601042585935,-36.49654202740621
164,12.209288999279579,-35.616100328072186
165,101.94482495605368,-34.392584216298744
166,112.41260082247439,-32.48639943828825
167,-10.40811315779041,-31.639939715984983
168,-54.54043499172012,-31.50563473468638
169,-34.56282133361694,-32.081550096781626
170,-58.74316420660439,-32.223802217825295
171,-26.27796811092591,-31.77918577302622
172,9.962529734279585,-30.85177200729302
173,12.356459220710718,-29.650763778628694
174,-8.692973758226785,-28.9671037525237
175,8.420653592213668,-28.402867097470647
176,-19.75377127208702,-28.445431542011384
177,-12.905967244018228,-28.098681299254416
178,1.8509515625217574,-28.488005984337292
179,-15.001667383807003,-28.017424957532693
180,8.054544273309972,-27.34858825706809
181,56.91902844241724,-26.15978026343004
182,169.73593940633668,-23.818236966435553
183,3.2896861804689763,-23.217604476291623
184,37.867783327686794,-22.199361064827766
185,-99.09210556927718,-23.473406548425498
186,141.1151241926341,-21.040847579958434
187,48.85814724623674,-19.060840102247656
188,-3.6353374060015256,-19.137989940330513
189,137.4493064769319,-17.6287266849765
190,-66.05571179257674,-17.8356075995233
191,2.3282853568353232,-16.721503976680793
192,116.07656544202914,-15.510367462361753
193,99.24028390377791,-14.2225854593856
194,105.67269773831246,-12.897359361254715
195,191.68028859959838,-10.585341141848843
196,-55.836843442381394,-10.292963908149076
197,-4.888072192308499,-9.355102931539145
198,17.291784366069834,-8.700401368582288
199,-21.53068753732971,-8.168538453020528
200,33.68840768359382,-7.558514915569086
201,55.18228637176735,-6.846221184264189
202,-2.850616296752248,-6.408656994180828
203,106.37892248600293,-4.842747480092619
204,133.5359019914535,-2.025418660768911
205,100.88133361230685,-0.5388423110897268
206,41.527590438198075,0.663830949427056
207,-75.39123143452017,1.4341206261051196
208,-46.562642261632675,1.3922438231758658
209,144.6428413819246,3.1181523748582025
210,-185.68620740149794,3.4172209149227384
211,235.27430235246436,5.6653620281833375
212,-145.63358942282593,4.929386687085916
213,62.66154421984953,5.83535670783321
214,105.74103854368532,7.502322990614505
215,65.17236252852825,8.543004709350367
216,47.06716522454943,9.732324145381728
217,15.975596112730443,10.685312102105069
218,7.479599625669465,11.109958076988946
219,-32.59839405469887,11.58635455701461
220,243.34623294134158,14.545880749458938
221,-67.99853166063143,14.477745897287473
222,166.2231824800035,16.10931824284077
223,13.072280926200051,16.651443598289124
224,69.72672503445281,16.379825847815404
225,130.43767027579233,18.299873449232518
226,16.631623589706948,18.656740325203103
227,109.721103011825,20.441259854040258
228,37.98964490415315,20.731190204112263
229,-18.7784392314298,20.603477644943496
230,-162.2379130665086,19.763641993984667
231,77.07080693986572,20.675080923340758
232,138.94676152927946,22.53417404419115
233,-12.483349832092529,22.674903049109048
234,111.71126169654887,23.735374620990438
235,109.93157046389005,25.6428815870629
236,-54.25080039166568,25.740149959029683
237,-7.238506383266298,26.079825768449965
238,41.32934712627505,26.64585094731241
239,-21.405382102593904,25.589167307499796
240,-1.9474873212192705,26.803930908867756
241,249.32253340364508,28.991845163992362
242,30.522122008458496,29.676507199168967
243,90.3002856526553,30.123838819493535
244,-34.25683272292288,30.634347729192406
245,232.18658848564968,32.7062247897834
246,22.993179774052393,32.88688298129465
247,17.073905466893716,33.327665688394816
248,69.52737231555254,33.16382431989176
249,70.37217101692555,34.127923308513694
250,195.4265733679618,35.6544657964176
