generation,best,average,overall_best
1,-83.01954082975388,-447.420269185502,-83.01954082975388
2,-74.29569597492639,-291.24203009900606,-74.29569597492639
3,-84.18126540300761,-194.35696830392737,-74.29569597492639
4,-68.83599415920465,-154.28923895270427,-68.83599415920465
5,-45.01482883642028,-146.15968395891804,-45.01482883642028
6,-48.96353110005911,-162.45252309365614,-45.01482883642028
7,-52.093253229577535,-165.41366692912771,-45.01482883642028
8,4.905782853202259,-140.54601555102587,4.905782853202259
9,-33.68369290592448,-138.51505576710525,4.905782853202259
10,-39.38064047264608,-133.9087404350008,4.905782853202259
11,-59.86706915486256,-140.75342422551762,4.905782853202259
12,-40.499757656977906,-123.05715936025423,4.905782853202259
13,-24.78327036220651,-126.58490130311624,4.905782853202259
14,-51.286072561600164,-122.5636275787874,4.905782853202259
15,-46.334905372511955,-129.87356452418115,4.905782853202259
16,-21.88876285526244,-116.15910345520582,4.905782853202259
17,-49.90095238948341,-113.7115447261364,4.905782853202259
18,-44.1783257728038,-115.46810410099572,4.905782853202259
19,-35.105736853208654,-112.25779406641291,4.905782853202259
20,-20.776337797164967,-105.86188724030198,4.905782853202259
21,-16.685322493910284,-101.78310616610406,4.905782853202259
22,5.185056820366721,-102.28662230957906,5.185056820366721
23,-38.07634342516134,-115.94392799768806,5.185056820366721
24,-16.882495190444605,-103.11988548924677,5.185056820366721
25,72.33185785577507,-88.1783039710102,72.33185785577507
26,-8.080871500167284,-95.99951292091004,72.33185785577507
27,75.33695476163045,-81.35987955365678,75.33695476163045
28,74.43684158654749,-82.53596410990414,75.33695476163045
29,73.61797469311333,-78.11162740655828,75.33695476163045
30,92.0927652066352,-70.18518919725305,92.0927652066352
31,28.454073134940266,-72.0916514696932,92.0927652066352
32,67.56975555422771,-69.56401932838051,92.0927652066352
33,140.54800018898237,-70.86940758856383,140.54800018898237
34,53.17725439100644,-55.83291417974802,140.54800018898237
35,170.56980629868605,-55.42499073351715,170.56980629868605
36,91.50071451694791,-54.80265447062853,170.56980629868605
37,96.99116552907786,-57.01615392045889,170.56980629868605
38,51.85663911022469,-50.81710021151703,170.56980629868605
39,91.01434686939835,-51.026118591254956,170.56980629868605
40,89.5537479676957,-56.04242888265737,170.56980629868605
41,90.52975061785982,-53.69478187496381,170.56980629868605
42,85.76973468306508,-63.59571536218598,170.56980629868605
43,150.7985048944353,-46.06332405104114,170.56980629868605
44,98.54745063332247,-56.340025201066375,170.56980629868605
45,83.00404012787587,-55.18676643303625,170.56980629868605
46,152.51718562259083,-46.04608752199443,170.56980629868605
47,115.40288315451849,-48.675717940905116,170.56980629868605
48,121.46255484959136,-33.56440164490182,170.56980629868605
49,142.84034874933866,-31.248907050538318,170.56980629868605
50,99.62346759911618,-46.46248353240369,170.56980629868605
51,104.46996150521628,-43.00954955462524,170.56980629868605
52,118.62658496382264,-39.796311464191355,170.56980629868605
53,96.3202597687634,-46.58627912961528,170.56980629868605
54,105.88786045087542,-45.62348213186076,170.56980629868605
55,95.04296449825794,-33.433355121262224,170.56980629868605
56,93.84150111739616,-32.384418051825804,170.56980629868605
57,126.05884042284515,-30.88221386871479,170.56980629868605
58,78.80680053459741,-25.91022158615216,170.56980629868605
59,107.86644267540434,-29.961327781423517,170.56980629868605
60,119.66821266384139,-22.37092518530117,170.56980629868605
61,149.78529214034765,-21.230885847840764,170.56980629868605
62,105.26569079817901,-19.810662769375742,170.56980629868605
63,182.26882332547004,-11.570674807668855,182.26882332547004
64,119.86914598772032,-7.754543602252584,182.26882332547004
65,152.59829122102195,2.503383936432386,182.26882332547004
66,166.1445267785702,4.551035219265559,182.26882332547004
67,144.3858357378426,17.412369395458107,182.26882332547004
68,187.64971585731647,25.833234657435888,187.64971585731647
69,224.87485108797756,32.10298308578584,224.87485108797756
70,163.6659812130768,37.04364422858319,224.87485108797756
71,162.73290021622648,41.938363866072116,224.87485108797756
72,204.53863482675376,25.32781861989494,224.87485108797756
73,177.05562910914236,39.07358430153613,224.87485108797756
74,174.1143468622374,41.850169505772385,224.87485108797756
75,172.4757494927423,42.800043075504234,224.87485108797756
76,217.69585759454344,47.78348890315659,224.87485108797756
77,180.51681357138295,39.164498999104104,224.87485108797756
78,207.4868020899915,50.18073518802471,224.87485108797756
79,252.00348839566158,48.65689259096625,252.00348839566158
80,227.73707983075968,75.0250504425284,252.00348839566158
81,222.3202505976613,71.90472664911765,252.00348839566158
82,224.0909425895959,73.37853308525865,252.00348839566158
83,218.44193515469206,76.24111127339988,252.00348839566158
84,227.75261495832805,84.501695488269,252.00348839566158
85,243.80339292578893,97.46427427407669,252.00348839566158
86,252.0644406339536,114.1961750542572,252.0644406339536
87,235.7313864474284,98.20783789459888,252.0644406339536
88,246.9802270471671,109.17419529989176,252.0644406339536
89,246.3189513948067,108.29664916074722,252.0644406339536
90,248.99817399567922,121.16791098344888,252.0644406339536
91,251.82916529367452,119.35676720732309,252.0644406339536
92,253.10060929178022,112.91270640415507,253.10060929178022
93,247.78942032098544,113.47859699729408,253.10060929178022
94,250.86285403981566,123.02923546159568,253.10060929178022
95,256.33930170795605,130.93314413901362,256.33930170795605
96,265.1362848503093,137.6083641047545,265.1362848503093
97,238.37907101343686,146.5290516123121,265.1362848503093
98,274.0465005440666,151.59279555107523,274.0465005440666
99,270.4770896323241,161.6462793396288,274.0465005440666
100,258.61383281194765,171.55544531822633,274.0465005440666
101,265.0041049191844,168.10138602149152,274.0465005440666
102,264.22491859558556,159.07480935934072,274.0465005440666
103,245.4264518814658,171.05315362874356,274.0465005440666
104,271.7517942264885,166.58611996450657,274.0465005440666
105,265.02512544745895,170.71639803454644,274.0465005440666
106,267.94036713893627,166.36532349319674,274.0465005440666
107,270.44454833859584,169.43832487208033,274.0465005440666
108,269.42594327718155,175.95165011914096,274.0465005440666
109,263.50620940730846,171.48343702169862,274.0465005440666
110,269.9895479983528,179.83111990837943,274.0465005440666
111,275.4140634213474,173.07987435103797,275.4140634213474
112,279.4627569101068,184.65391427516798,279.4627569101068
113,277.9283191542493,184.31571622713386,279.4627569101068
114,263.64904863683176,184.6850980915284,279.4627569101068
115,270.3830929754362,191.26404501062908,279.4627569101068
116,273.41832702872836,187.54277872037545,279.4627569101068
117,269.05201107501836,197.41390371833725,279.4627569101068
118,269.3569204266796,195.42649037411488,279.4627569101068
119,280.8761161180313,208.95212831927603,280.8761161180313
120,280.48056622967096,211.48250460902116,280.8761161180313
121,269.81491277433037,215.11387793687933,280.8761161180313
122,272.7345594477785,209.6550012233222,280.8761161180313
123,279.0937359448704,215.658987329088,280.8761161180313
124,278.1127064711369,206.33279880632884,280.8761161180313
125,271.09888705184295,214.8514204236355,280.8761161180313
126,278.1974651160953,211.9411780367542,280.8761161180313
127,284.86746818498995,209.9952388648319,284.86746818498995
128,274.422504789911,210.24207692068845,284.86746818498995
129,283.8721031933876,227.38267343002644,284.86746818498995
130,281.7647507001135,229.0672753780912,284.86746818498995
131,284.25666613473487,228.60947590888355,284.86746818498995
132,280.1093465808611,238.17601387811317,284.86746818498995
133,283.5512583172527,234.14115280121288,284.86746818498995
134,287.66224822592375,234.30837479037186,287.66224822592375
135,286.38257362753893,234.44410396433682,287.66224822592375
136,286.5426784577397,240.8214163012843,287.66224822592375
137,279.4240018743079,246.62103420295207,287.66224822592375
138,282.78177110024615,245.2402668161134,287.66224822592375
139,282.12260860793475,241.83270487142025,287.66224822592375
140,285.9685835493461,245.0980520543093,287.66224822592375
141,286.1112379446366,244.89597378594476,287.66224822592375
142,291.8877426810906,247.26011801951327,291.8877426810906
143,292.0902983326453,251.20211076831674,292.0902983326453
144,283.6895393032754,246.3600511916631,292.0902983326453
145,285.1008666618549,246.89204636414976,292.0902983326453
146,289.0069365481874,256.33567855284866,292.0902983326453
147,288.2582194561472,254.94301550474273,292.0902983326453
