generation,best,average,overall_best
60,275.7096669531792,153.9403853281161,283.4913920466963
61,278.3276476464017,168.00235831580255,283.4913920466963
62,280.179678855184,185.90892216792582,283.4913920466963
63,278.69433711374967,179.39414384150473,283.4913920466963
64,280.4410151686594,183.8669994472194,283.4913920466963
65,274.2177718130073,183.11015397902997,283.4913920466963
66,282.8506914536888,185.3316561700455,283.4913920466963
67,286.6215799737867,195.70892763214744,286.6215799737867
68,281.07204181435304,199.0465380757749,286.6215799737867
69,276.1926641405071,201.27643690572776,286.6215799737867
70,280.4582261545094,208.55781202384216,286.6215799737867
71,282.6051379516278,202.65474849186054,286.6215799737867
72,283.9061586066972,209.28225738989883,286.6215799737867
73,287.1781087641642,206.570970524324,287.1781087641642
74,282.54131069185553,192.10179046685008,287.1781087641642
75,281.3674587570611,210.63546831878986,287.1781087641642
76,286.2864265854997,214.4656936422867,287.1781087641642
77,277.6674760739091,202.13939883586977,287.1781087641642
78,274.1790725873298,198.75083052257426,287.1781087641642
79,279.63979579609656,218.70704608556997,287.1781087641642
80,283.0872260410307,202.50450990080594,287.1781087641642
81,279.3018141434319,214.1966619803319,287.1781087641642
82,277.57014449621465,199.09759411488125,287.1781087641642
83,276.65267851431446,210.74383191869623,287.1781087641642
84,283.0004062286266,221.0824717100939,287.1781087641642
85,278.7035230316547,227.8240603592075,287.1781087641642
86,291.5737347780275,238.23509224518796,291.5737347780275
87,278.7601257299699,237.45784580445513,291.5737347780275
88,280.0467213860717,235.22702882212002,291.5737347780275
89,283.5985522531411,230.55522524663675,291.5737347780275
90,281.67472790722684,234.9144860395641,291.5737347780275
91,279.5307066121286,237.8019392465513,291.5737347780275
92,284.0254206825772,241.1989921913528,291.5737347780275
93,279.0509569340899,242.5601362754656,291.5737347780275
94,283.7308364660228,243.8042885912728,291.5737347780275
95,293.35642494561455,247.1176820478173,293.35642494561455
96,284.0499501994956,250.4257116224048,293.35642494561455
97,284.04525041290646,239.99218657767358,293.35642494561455
98,276.62239331181445,234.38365173989038,293.35642494561455
99,289.06262994494995,234.90517130343483,293.35642494561455
100,284.5757376336727,242.78920469544977,293.35642494561455
101,284.7418760109436,245.63599549567112,293.35642494561455
102,282.8302186916844,242.2929625786156,293.35642494561455
