generation,best,average,overall_best
1,-106.86195006519748,-481.52932314034786,-106.86195006519748
2,-81.21522020083154,-301.068192563459,-81.21522020083154
3,-69.23288466855584,-159.83896631379213,-69.23288466855584
4,-53.686423585296055,-114.72994795232667,-53.686423585296055
5,-46.798874843316284,-101.95738549821166,-46.798874843316284
6,-61.39736121593931,-102.3724176116196,-46.798874843316284
7,-55.1067370541257,-98.17524602370894,-46.798874843316284
8,-54.06648109152168,-95.93517279493548,-46.798874843316284
9,-46.24830673614593,-93.6823655806882,-46.24830673614593
10,-51.93425472216361,-96.28507602279788,-46.24830673614593
11,-48.032469071360765,-96.8129587512699,-46.24830673614593
12,-49.53564107440032,-97.09847436213839,-46.24830673614593
13,-28.75540008947338,-92.49732007966304,-28.75540008947338
14,-44.907241499807775,-95.39991420557386,-28.75540008947338
15,-42.6687161308969,-93.68643840288186,-28.75540008947338
16,-46.03533843926062,-94.93653947559505,-28.75540008947338
17,1.5069053679930549,-91.18526343894105,1.5069053679930549
18,-46.5447602758007,-91.35882318148354,1.5069053679930549
19,-52.05340788991852,-90.22342850328208,1.5069053679930549
20,-28.302400848137058,-89.94888648964792,1.5069053679930549
21,-59.643257226082156,-90.66883543080645,1.5069053679930549
22,-50.57906027745637,-91.32759135418786,1.5069053679930549
23,-44.51747474131025,-89.27382766942887,1.5069053679930549
24,-46.370941257041196,-86.95659563629208,1.5069053679930549
25,-42.147875140204164,-86.91610171455943,1.5069053679930549
26,-49.683768610821105,-88.76491239280193,1.5069053679930549
27,-49.161776666057065,-90.28461202961658,1.5069053679930549
28,-43.528735430976305,-85.75778821826833,1.5069053679930549
29,-45.98676094148417,-86.1031585120413,1.5069053679930549
30,-46.11565572955481,-84.08735352930033,1.5069053679930549
31,-49.59648827291005,-86.66551148058072,1.5069053679930549
32,-36.09414337897666,-89.50208052829097,1.5069053679930549
33,-48.53029511940622,-88.77566718113944,1.5069053679930549
34,-38.86274671390567,-89.62002465493262,1.5069053679930549
35,-53.26150085052484,-85.84015823842341,1.5069053679930549
36,-52.0357060144014,-91.2293179412676,1.5069053679930549
37,-18.202031355416686,-87.3002442590462,1.5069053679930549
38,-41.57447776736094,-92.29992240433792,1.5069053679930549
39,-43.69478866862373,-89.11988558262381,1.5069053679930549
40,-42.23831485955401,-89.97800428397956,1.5069053679930549
41,-21.325109896834235,-86.47103734474726,1.5069053679930549
42,-44.72919023585004,-89.08087697327741,1.5069053679930549
43,-41.719925969035316,-87.47618179100078,1.5069053679930549
44,-50.518624689121644,-87.53443451398984,1.5069053679930549
45,-39.81006960361137,-88.45400226620474,1.5069053679930549
46,-27.88466086364162,-86.92326851611374,1.5069053679930549
47,-33.11412601151912,-83.05836831627396,1.5069053679930549
48,-41.26104261832473,-86.42333952892632,1.5069053679930549
49,-42.73696531174723,-84.85954309256844,1.5069053679930549
50,-48.58724316631735,-87.74857821628542,1.5069053679930549
51,-41.676352189294825,-86.46298752413921,1.5069053679930549
52,-39.34044238984222,-89.63903384469981,1.5069053679930549
53,-23.718682300417562,-90.49851724546899,1.5069053679930549
54,-32.69002190766621,-86.06788288842387,1.5069053679930549
55,-38.298821628834595,-85.05500331621603,1.5069053679930549
56,-12.819726294647001,-83.9102753069573,1.5069053679930549
57,-45.13106508406815,-86.1389281053744,1.5069053679930549
58,-48.201888656226934,-86.3108698764162,1.5069053679930549
59,-42.342704498165205,-85.84503411766346,1.5069053679930549
60,-43.61558466777327,-86.1217811687006,1.5069053679930549
61,-28.762321420165357,-87.47820023350683,1.5069053679930549
62,-41.51421300116707,-90.45220800567162,1.5069053679930549
63,-37.05053267464051,-86.3687089097579,1.5069053679930549
64,-32.96704184407078,-86.6560029088042,1.5069053679930549
65,-49.430507999095,-88.99116466727172,1.5069053679930549
