generation,best,average,overall_best
49,274.9032979829706,183.27115344557313,276.8526305547034
50,273.8284479356762,171.999891156806,276.8526305547034
51,282.9244927895349,177.7116190195993,282.9244927895349
52,270.4161135255362,180.9978382767869,282.9244927895349
53,278.12743390027777,181.30448014640467,282.9244927895349
54,280.8398804587849,184.56889947227074,282.9244927895349
55,290.2650947814408,180.33687514716462,290.2650947814408
56,277.5417254624801,185.92451630185852,290.2650947814408
57,278.9963139970873,182.48487180051276,290.2650947814408
58,285.94465442488234,188.13464783337986,290.2650947814408
59,278.81109241764904,196.16793776033964,290.2650947814408
60,280.1167553101215,207.5196969259046,290.2650947814408
61,278.86776652870617,203.2643498159127,290.2650947814408
62,285.7275791783561,197.75438166891956,290.2650947814408
63,282.4006290999093,195.63582521499862,290.2650947814408
64,283.05265067261433,201.01684170990538,290.2650947814408
65,282.2854829692616,197.51091359964627,290.2650947814408
66,288.79236295286194,208.6733691919041,290.2650947814408
67,283.3552660461934,217.91479845986956,290.2650947814408
68,279.43434616788716,220.75012974234124,290.2650947814408
69,285.3330229666445,221.42136896579407,290.2650947814408
70,284.37286434012304,197.05740742453747,290.2650947814408
71,281.6873593786762,212.4215266788992,290.2650947814408
72,277.83393727831,209.77321425190206,290.2650947814408
73,286.260135694983,210.00610249083155,290.2650947814408
74,276.45825086290336,204.97750546469723,290.2650947814408
75,279.43797928149047,207.12538696451043,290.2650947814408
76,278.07143282263894,203.189541091905,290.2650947814408
77,277.75279471495537,209.2884217985025,290.2650947814408
78,282.18181458869395,212.02510170356584,290.2650947814408
79,279.3881270916932,216.1478307327455,290.2650947814408
80,285.24848902162597,210.629417587731,290.2650947814408
81,284.75064758524906,213.88158811732447,290.2650947814408
82,288.0661694574899,220.37772672489885,290.2650947814408
83,284.6980929377761,222.22569829454488,290.2650947814408
84,284.4725221270255,229.1202201417612,290.2650947814408
85,282.38727321443,240.2589652061359,290.2650947814408
86,286.5088225735352,229.48464828579085,290.2650947814408
87,288.93670473384316,234.54295845341846,290.2650947814408
88,281.9094542783249,238.15336620746675,290.2650947814408
89,281.3779885438271,237.41082288433932,290.2650947814408
90,283.6486882265407,230.20138388159606,290.2650947814408
91,286.25178797407955,237.98513379620783,290.2650947814408
92,287.8716565506218,238.47947182261265,290.2650947814408
93,280.2569819178311,238.60510531290518,290.2650947814408
94,282.83707730852956,247.31459914435902,290.2650947814408
95,284.42433127745846,236.13618722305327,290.2650947814408
96,292.48783540449824,247.0502374696373,292.48783540449824
97,285.77171636668936,235.4112441311188,292.48783540449824
98,297.8955914835682,235.05660159736297,297.8955914835682
99,287.13207097909196,236.99117013525427,297.8955914835682
100,288.04354534662247,245.3168374622544,297.8955914835682
101,281.91861745139033,244.09599189602432,297.8955914835682
102,287.38597500120005,249.1901810256477,297.8955914835682
103,288.3165519137143,239.74494588655386,297.8955914835682
104,288.6398270470532,237.68244668115088,297.8955914835682
105,291.8213438707721,247.01348625885888,297.8955914835682
106,290.25021316900137,251.8672660194275,297.8955914835682
107,290.69713253089014,246.2424556708289,297.8955914835682
108,290.45119705050547,254.93329391505296,297.8955914835682
109,292.6180806577501,263.40922154913,297.8955914835682
110,295.037107316041,264.3094061129861,297.8955914835682
111,292.4105821425067,261.59801678476794,297.8955914835682
112,298.7979044681131,267.7275286448901,298.7979044681131
113,295.80542772525143,258.71991398688425,298.7979044681131
114,293.88390016375945,263.92024238731904,298.7979044681131
115,294.1421498557389,261.1479269327898,298.7979044681131
116,293.9081516181037,266.23384662174783,298.7979044681131
117,296.7704963181052,262.9234902326032,298.7979044681131
118,294.05073395130614,266.4825193764318,298.7979044681131
119,289.7657498177938,261.2509185170354,298.7979044681131
120,292.6496790191082,265.979725983457,298.7979044681131
121,293.9256865424687,266.3614069963039,298.7979044681131
122,289.6165030035942,267.7854014491605,298.7979044681131
123,294.834262883807,264.6142811023439,298.7979044681131
124,294.2756785182131,266.4366033546331,298.7979044681131
125,291.78729160361877,267.17871967383985,298.7979044681131
126,291.89786943402817,269.3842174584954,298.7979044681131
127,292.5483884969244,266.1921346840327,298.7979044681131
128,294.0418686749626,265.6050129243401,298.7979044681131
129,290.9551095959468,268.27985393996175,298.7979044681131
130,293.32125796739484,267.26482605163505,298.7979044681131
131,293.8357728865171,270.73283293432087,298.7979044681131
132,294.51177664647156,271.97092976411136,298.7979044681131
133,295.79294448679485,274.0173143555427,298.7979044681131
134,294.03742152790863,275.89255963002745,298.7979044681131
135,289.94311886789126,275.4451575368969,298.7979044681131
136,292.5767594865423,273.62823118285837,298.7979044681131
137,293.54716426997373,273.3887750692284,298.7979044681131
138,294.8029474181741,274.19402834818425,298.7979044681131
139,294.7589340743112,273.99171916580036,298.7979044681131
140,293.50741068776017,270.40863502566225,298.7979044681131
141,301.8280771894471,276.29375516992076,301.8280771894471
142,293.07162028829634,275.8315182276345,301.8280771894471
143,300.3191982130308,276.76270392362903,301.8280771894471
144,296.8101070655066,276.872225619938,301.8280771894471
145,294.5534518960184,277.31722608223606,301.8280771894471
146,295.81967418135935,276.10967824420374,301.8280771894471
147,294.4310044918834,276.17849266882143,301.8280771894471
148,293.0901130214768,277.08037052292536,301.8280771894471
149,298.29758388530803,277.604377978151,301.8280771894471
150,295.1687472949625,278.05058536826937,301.8280771894471
